"","id","Serial.Number","List.Year","Date.Recorded","Address","Assessed.Value","Sale.Amount","Sales.Ratio","Property.Type","Non.Use.Code","Zone.Name","Zone.Classification","Location"
"1",1,1048,2010,2010-12-28,"274-276 SMITH STREET",171660,165000,1.040363636,"Three Family",NA,"616-16A","RX2",c(-73.1659304, 41.173829)
"2",2,9006,2009,2009-10-05,"693 MYRTLE AVENUE",133910,1e+05,1.3391,"Single Family","25","953-15","NX2",c(-73.1937538, 41.172091)
"3",3,10002,2001,2001-10-01,"59-63 HIGHLAND AVE",66710,87500,0.7624,NA,NA,"1049-18","NX2",c(-73.1954858, 41.1830239)
"4",4,10004,2010,2010-10-04,"772-776 IRANISTAN AVENUE",177990,220000,0.809045455,"Two Family",NA,"1157-2","NX2",c(-73.200888, 41.171164)
"5",5,10005,2010,2010-10-04,"75 GRANDFIELD AVENUE",121640,100410,1.211433124,"Single Family","25","1928-9","NX1",c(-73.1637515, 41.1973767)
"6",6,10006,2001,2001-10-01,"99 HARVEY ST",56000,115000,0.486956522,NA,"16","1929-13","N2",c(-73.1642306, 41.1953151)
"7",7,10007,2010,2010-10-04,"3051 OLD TOWN RD",144290,158000,0.913227848,"Single Family",NA,"2502B-11A","N4",c(-73.2261222, 41.2261294)
"8",8,10008,2001,2001-10-01,"104 CLOVER HL AVE",48440,50000,0.9688,NA,"13","2799-15B","N2",c(-73.1914033, 41.222543)
"9",9,10010,2001,2001-10-01,"2660 NORTH AVE 216",59500,114000,0.521929825,NA,NA,"1301-2","NX3",c(-73.22084, 41.17683)
"10",10,10010,2010,2010-10-04,"191 SIXTH STREET",137660,30000,4.588666667,"Two Family","25","737-32","NX2",c(-73.1683317, 41.1804235)
"11",11,10011,2010,2010-10-04,"166 HOLLISTER AVENUE",109710,10000,10.971,"Single Family","15","651-20A","NX2",c(-73.1599164, 41.1770926)
"12",12,10015,2010,2010-10-04,"39-43 FIFTH STREET",199030,33000,6.031212121,"Two Family","14","704-22","NX2",c(-73.1688101, 41.1780991)
"13",13,10016,2010,2010-10-04,"25 HANOVER",101350,106000,0.956132075,"Condo",NA,"1155-14K","RX2",c(-73.1977722, 41.1730273)
"14",14,10019,2010,2010-10-04,"169 HALE TERRACE",142010,170000,0.835352941,"Single Family",NA,"1925-33","N2",c(-73.1612082, 41.1960149)
"15",15,10020,2010,2010-10-04,"50 SUNBURST ROAD",164360,186000,0.883655914,"Single Family",NA,"2509G-5","N4",c(-73.2228875, 41.2193578)
"16",16,10021,2010,2010-10-04,"44 DOREEN DRIVE",170070,185000,0.919297297,"Single Family",NA,"2573-66","N4",c(-73.2362099, 41.2217049)
"17",17,10023,2001,2001-10-01,"193 FRENCHTOWN RD",87429,179000,0.488430168,NA,NA,"2600-25","N4",c(-73.212365, 41.2202034)
"18",18,10023,2010,2010-10-04,"23 LINEN AVENUE",192170,85000,2.260823529,"Three Family","14","1014-10","NX2",c(-73.2017547, 41.1823163)
"19",19,10025,2001,2001-10-01,"2612 NORTH AVE UT E10",73500,136000,0.540441176,NA,NA,"1301-5K","NX3",c(-73.2200094, 41.1771985)
"20",20,10026,2001,2001-10-01,"3004E MADISON AVE",34500,73000,0.47260274,NA,NA,"2511-6A","NX3",c(-73.2271702, 41.2152993)
"21",21,10027,2001,2001-10-01,"345 GLENDALE AVE A3",31010,65500,0.473435115,NA,"10","2377-37A","NX3",c(-73.2181065, 41.2123399)
"22",22,10027,2010,2010-10-05,"2660 NORTH AVENUE",120690,195000,0.618923077,"Condo","7","1301-2","NX3",c(-73.22084, 41.17683)
"23",23,10028,2010,2010-10-05,"2660 NORTH AVENUE",120690,195000,0.618923077,"Condo","7","1301-2","NX3",c(-73.22084, 41.17683)
"24",24,10030,2001,2001-10-02,"397 POND ST",49218,94680,0.519835234,NA,NA,"2701-6A","N2",c(-73.1971471, 41.2095177)
"25",25,10030,2010,2010-10-05,"71-79 CRESCENT AVENUE",186127,1e+05,1.86127,NA,"25","1657-10A","MX1",c(-73.184997, 41.18504)
"26",26,10031,2001,2001-10-02,"35-37 PRISCILLA CIR",64470,1e+05,0.6447,NA,NA,"2862-39","N2",c(-73.1717415, 41.212543)
"27",27,10032,2001,2001-10-02,"891C WILLIAM ST",13370,18400,0.726630435,NA,NA,"1666-12","NX3",c(-73.1852231, 41.1964184)
"28",28,10035,2001,2001-10-02,"260 GILMAN ST",58696,176000,0.3335,NA,NA,"138-13","N2",c(-73.230972, 41.1529787)
"29",29,10035,2010,2010-10-06,"325 LAFAYETTE ST UNIT 9103",367780,345000,1.066028986,"Condo",NA,"525-1","RX2",c(-73.1884465, 41.1677087)
"30",30,10036,2001,2001-10-02,"305 7 BEACH ST",94781,125000,0.758248,NA,NA,"1776-12A","RX1",c(-73.1819716, 41.185909)
"31",31,10036,2010,2010-10-06,"290 LINDLEY",167900,26000,6.457692308,NA,"14","1517-7","CX",c(-73.1922659, 41.1963555)
"32",32,10037,2001,2001-10-02,"499 SUCCESS AVE",6327808,49500,127.8345051,NA,"6","1939-54","NX3",c(-73.1582706, 41.1989724)
